 (-38.3041379132908,0.000000000000000E+000)
 (-16.0257310253329,2.544173696531668E-015)
 (-1.457371778036772E-016,1.191985314755924E-015)
 (-1.246907314281249E-016,-1.093488482900709E-016)
 (1.225049175311884E-016,9.302513274220997E-017)
 (-4.253134371174468E-017,1.667148350484519E-016)
 (1.263914242187046E-017,-8.985527050084491E-017)
 (-1.664298081532866E-016,1.585049526636965E-016)
 (4.775808697029973E-017,-5.919453421461906E-021)
 (-1.887713939903091E-016,3.983896517248844E-017)
 (-6.762725724998682E-017,-9.715807863821803E-017)
 (-1.091189326253194E-016,-6.039772722309277E-017)
 (4.152988795845016E-017,-2.554680926424309E-017)
 (2.155531362775054E-016,-4.873426530764798E-017)
 (4.864833349317828E-017,-6.604672910448694E-017)
 (-3.458955141695702E-017,3.152394215100234E-017)
 (-2.505560911437107E-018,0.000000000000000E+000)
 
 (-37.0724182013482,0.000000000000000E+000)
 (-16.0257310253349,2.522097623728492E-015)
 (-1.528003291910990E-016,1.200129092905837E-015)
 (-1.277753825441406E-016,-1.118142249946230E-016)
 (1.278596287330796E-016,9.114025561112660E-017)
 (-4.100897510454623E-017,1.654662972227319E-016)
 (6.102265633373374E-018,-9.048684294626111E-017)
 (-1.664911027719854E-016,1.556570252238287E-016)
 (4.054805419198555E-017,-1.775836030663828E-020)
 (-1.887463109749981E-016,4.238435466609422E-017)
 (-6.301025889872028E-017,-1.019437741708084E-016)
 (-1.112672605141949E-016,-6.119247000748664E-017)
 (4.427638926249176E-017,-3.217853455336043E-017)
 (2.128419546919941E-016,-5.000980055527527E-017)
 (5.122179298829046E-017,-6.598194524695370E-017)
 (-3.465022439662326E-017,3.656102216409760E-017)
 (-1.252780455709512E-017,0.000000000000000E+000)
 
 (-34.6326459263514,0.000000000000000E+000)
 (-16.0257310253365,2.511339175930683E-015)
 (-1.508272090073801E-016,1.193008260851742E-015)
 (-1.268834494975741E-016,-1.092610866671305E-016)
 (1.245847338828281E-016,9.335813056130561E-017)
 (-4.064568094586816E-017,1.665992724860009E-016)
 (1.060354502446933E-017,-9.017532478466374E-017)
 (-1.667123652728765E-016,1.582172974663550E-016)
 (4.594999198501843E-017,-6.511398768757896E-020)
 (-1.886361920088880E-016,4.071829851335138E-017)
 (-6.665424559313469E-017,-9.818214664030336E-017)
 (-1.096525339899361E-016,-6.051468634986030E-017)
 (4.202549941903669E-017,-2.675027797851913E-017)
 (2.150692996518059E-016,-4.891820561862757E-017)
 (4.909604034993151E-017,-6.603851048565258E-017)
 (-3.501193064580036E-017,3.234786117781068E-017)
 (-4.177128618663661E-018,0.000000000000000E+000)
 
 (-31.0549130197014,0.000000000000000E+000)
 (-16.0257310253378,2.477242843116434E-015)
 (-1.566921513208538E-016,1.194186941218432E-015)
 (-1.298152468197322E-016,-1.091437440433600E-016)
 (1.278828784454900E-016,9.388619398655426E-017)
 (-3.708392885258725E-017,1.663809910384873E-016)
 (6.054731630619055E-018,-9.089052869219405E-017)
 (-1.674497883134831E-016,1.574665693660587E-016)
 (4.052570702880783E-017,-2.426975904338486E-019)
 (-1.881778328697112E-016,4.369939738685473E-017)
 (-6.299049974287464E-017,-1.020381383615402E-016)
 (-1.118462441528816E-016,-6.099552175017674E-017)
 (4.421323425046023E-017,-3.206264590037440E-017)
 (2.128131988693318E-016,-4.977590810933595E-017)
 (5.126641532462228E-017,-6.599866860146621E-017)
 (-3.710759499283878E-017,3.643579356678125E-017)
 (-1.253496715487307E-017,0.000000000000000E+000)
 
 (-26.4530426016984,0.000000000000000E+000)
 (-16.0257310253388,2.452740391243485E-015)
 (-1.541133167030377E-016,1.179196372652597E-015)
 (-1.294580182138079E-016,-1.031077720075441E-016)
 (1.225650363221263E-016,1.001255429519625E-016)
 (-3.119243642607185E-017,1.693572569986475E-016)
 (1.248538736135435E-017,-9.116104579083644E-017)
 (-1.698904897781281E-016,1.650370801361984E-016)
 (4.766869831735455E-017,-9.056763741679381E-019)
 (-1.862756724136517E-016,4.561224027139937E-017)
 (-6.753309762429823E-017,-9.760775862518886E-017)
 (-1.120781993281618E-016,-5.939109701464957E-017)
 (4.118795323559108E-017,-2.491936334611174E-017)
 (2.153902937994586E-016,-4.740974660429702E-017)
 (4.890927416440055E-017,-6.614452325252190E-017)
 (-4.923933962072233E-017,3.077738303041487E-017)
 (-2.548536497767318E-018,0.000000000000000E+000)
 
 (-20.9802148228608,0.000000000000000E+000)
 (-16.0257310253397,2.411208653147734E-015)
 (-1.598728246904226E-016,1.170402581734241E-015)
 (-1.326113854098941E-016,-1.033704439100866E-016)
 (1.226371221727539E-016,1.086393387887410E-016)
 (-2.675457873144367E-017,1.698586792205173E-016)
 (1.218933521112981E-017,-9.367528877511022E-017)
 (-1.704253953571229E-016,1.643181871619568E-016)
 (4.742287952165295E-017,-3.380007906270904E-018)
 (-1.859213663065574E-016,4.791262149762384E-017)
 (-6.719831124565156E-017,-9.920660455724034E-017)
 (-1.106104775978818E-016,-5.902469494374422E-017)
 (3.974173535659137E-017,-2.226557171822274E-017)
 (2.134788043502244E-016,-4.740437807740458E-017)
 (5.012962933302907E-017,-6.660188236552395E-017)
 (-5.098378908542189E-017,3.575902310031314E-017)
 (-2.756251831753470E-018,0.000000000000000E+000)
 
 (-14.8230802366452,0.000000000000000E+000)
 (-16.0257310253403,2.385293656331776E-015)
 (-1.669386215106347E-016,1.169742761626951E-015)
 (-1.335571600584919E-016,-1.088313040085427E-016)
 (1.160349633483617E-016,1.123084480680535E-016)
 (-2.719724873530236E-017,1.665514991416481E-016)
 (8.077027500606139E-018,-9.362853869022113E-017)
 (-1.699156064048658E-016,1.627131198442549E-016)
 (3.929661305034491E-017,-1.261435525082724E-017)
 (-1.862680589497008E-016,4.753835051993588E-017)
 (-6.433630156404928E-017,-1.033471850664341E-016)
